Index,Instance,Min-Min Heuristic,Max-Min Heuristic,Random Population,Min-Min Population,Max-Min Population,Both
0,A.u_c_hihi,22508062.4,32026350.52,82502767.84,21207783.44,32021511.35,21224291.02
1,A.u_c_hilo,2255966,3219860.12,7725594.66,2137215.29,3219521.94,2142699.09
2,A.u_c_lohi,2154.95,3240.94,7976.49,2034.54,3239.45,2041.21
3,A.u_c_lolo,227.19,366.34,814.41,214.87,366.22,214.84
4,A.u_i_hihi,6367767.57,13222628.99,75574659.88,5910074.07,13207606.58,5905044.12
5,A.u_i_hilo,641438.41,1251858.15,7298372.64,554166.22,1251381.75,556085.89
6,A.u_i_lohi,664.71,1493.39,7156.67,596.69,1489.44,590.48
7,A.u_i_lolo,63.72,207.09,758.31,58.93,204.45,57.21
8,A.u_s_hihi,14125881.63,23282005.46,74256547.69,13129687.77,23237871.27,13180143.09
9,A.u_s_hilo,1319050.56,2232869.29,7579272.11,1266930.03,2224675.63,1258420.32
10,A.u_s_lohi,1380.54,2301.94,7598.28,1285.13,2295.19,1282.92
11,A.u_s_lolo,142.66,267.57,763.13,130.63,266.72,131.47
12,B.u_c_hihi,6708228.52,9645175.25,24081167.62,6426338.92,9645175.25,6466712.71
13,B.u_c_hilo,66684.48,97102.9,239184.95,64151.53,97095.73,64277.31
14,B.u_c_lohi,232011.77,337162.23,813015.7,222682.58,336945.55,224203.31
15,B.u_c_lolo,2386.28,3348.1,7634.39,2287.58,3346.33,2300.63
16,B.u_i_hihi,2164576.68,4139607.34,23005141.18,1859721.82,4136129.36,1853785.3
17,B.u_i_hilo,17083.14,39186.62,217712.49,16494.71,39091.25,16368.98
18,B.u_i_lohi,56601.21,120598.95,696813.91,54841.96,120598.95,54524.68
19,B.u_i_lolo,584.96,1516.42,7018.48,547.06,1513.79,553.11
20,B.u_s_hihi,3967265.87,6276272.94,21991388.29,3680500.12,6265237.51,3716100.47
21,B.u_s_hilo,40691.59,66055.34,239316.98,38333.94,65866.17,38361.99
22,B.u_s_lohi,135624.57,206654.65,734286.89,123711.33,205819.41,124656.34
23,B.u_s_lolo,1333.21,2314.5,7199.49,1250.5,2311.2,1256.04
